99;6uversion account-id interface-id srcaddr dstaddr srcport dstport protocol packets bytes start end action log-status
2 832396410045 eni-0f8a0053ec58b9ff5 3.86.4.106 10.10.0.10 123 37402 17 1 76 1785550501 1785550526 ACCEPT OK
2 832396410045 eni-0f8a0053ec58b9ff5 10.10.0.10 3.86.4.106 37402 123 17 1 76 1785550501 1785550526 ACCEPT OK
2 832396410045 eni-0f8a0053ec58b9ff5 13.220.36.73 10.10.0.10 443 34030 6 4 241 1785550501 1785550526 ACCEPT OK
2 832396410045 eni-0f8a0053ec58b9ff5 10.10.0.10 13.220.36.73 34030 443 6 5 297 1785550501 1785550526 ACCEPT OK
2 832396410045 eni-0f8a0053ec58b9ff5 13.220.37.233 10.10.0.10 443 37776 6 14 6825 1785550501 1785550526 ACCEPT OK
2 832396410045 eni-0f8a0053ec58b9ff5 10.10.0.10 13.220.37.233 37776 443 6 16 4816 1785550501 1785550526 ACCEPT OK
2 832396410045 eni-0f8a0053ec58b9ff5 44.201.148.133 10.10.0.10 123 60082 17 1 76 1785550501 1785550526 ACCEPT OK
2 832396410045 eni-0f8a0053ec58b9ff5 10.10.0.10 44.201.148.133 60082 123 17 1 76 1785550501 1785550526 ACCEPT OK
2 832396410045 eni-0f8a0053ec58b9ff5 52.207.222.50 10.10.0.10 123 55645 17 1 76 1785550501 1785550526 ACCEPT OK
2 832396410045 eni-0f8a0053ec58b9ff5 10.10.0.10 52.207.222.50 55645 123 17 1 76 1785550501 1785550526 ACCEPT OK
2 832396410045 eni-0e0b7c8224d983aac - - - - - - - 1785550457 1785550534 - NODATA
2 832396410045 eni-0e0b7c8224d983aac - - - - - - - 1785550461 1785550543 - NODATA
2 832396410045 eni-0e0b7c8224d983aac - - - - - - - 1785550456 1785550540 - NODATA
2 832396410045 eni-0e0b7c8224d983aac - - - - - - - 1785550468 1785550546 - NODATA
2 832396410045 eni-0e0b7c8224d983aac - - - - - - - 1785550464 1785550544 - NODATA
2 832396410045 eni-0574b6f83e620a00e 3.94.91.31 10.10.0.20 123 44489 17 1 76 1785550515 1785550541 ACCEPT OK
2 832396410045 eni-0574b6f83e620a00e 10.10.0.20 3.94.91.31 44489 123 17 1 76 1785550515 1785550541 ACCEPT OK
2 832396410045 eni-0574b6f83e620a00e 13.218.199.213 10.10.0.20 123 43776 17 1 76 1785550515 1785550541 ACCEPT OK
2 832396410045 eni-0574b6f83e620a00e 10.10.0.20 13.218.199.213 43776 123 17 1 76 1785550515 1785550541 ACCEPT OK
2 832396410045 eni-0574b6f83e620a00e 54.81.127.33 10.10.0.20 123 50779 17 1 76 1785550515 1785550541 ACCEPT OK
2 832396410045 eni-0574b6f83e620a00e 10.10.0.20 54.81.127.33 50779 123 17 1 76 1785550515 1785550541 ACCEPT OK
2 832396410045 eni-0574b6f83e620a00e 54.197.201.248 10.10.0.20 123 36678 17 1 76 1785550515 1785550541 ACCEPT OK
2 832396410045 eni-0574b6f83e620a00e 10.10.0.20 54.197.201.248 36678 123 17 1 76 1785550515 1785550541 ACCEPT OK
2 832396410045 eni-0e0b7c8224d983aac - - - - - - - 1785550475 1785550550 - NODATA
2 832396410045 eni-0e0b7c8224d983aac - - - - - - - 1785550485 1785550561 - NODATA
2 832396410045 eni-0f8a0053ec58b9ff5 52.207.222.50 10.10.0.10 123 36605 17 1 76 1785550534 1785550557 ACCEPT OK
2 832396410045 eni-0f8a0053ec58b9ff5 10.10.0.10 52.207.222.50 36605 123 17 1 76 1785550534 1785550557 ACCEPT OK
2 832396410045 eni-0e0b7c8224d983aac - - - - - - - 1785550480 1785550558 - NODATA
2 832396410045 eni-0e0b7c8224d983aac - - - - - - - 1785550478 1785550561 - NODATA
2 832396410045 eni-0e0b7c8224d983aac - - - - - - - 1785550488 1785550568 - NODATA

832396410045 eni-0f8a0053ec58b9ff5 10.10.0.10 13.220.37.233 37776 443 6 16 4816 1785550501 1785550526 ACCEPT OK
2 832396410045 eni-0f8a0053ec58b9ff5 44.201.148.133 10.10.0.10 123 60082 17 1 76 1785550501 1785550526 ACCEPT OK
